127.0.0.1 - - [06/Aug/2023:14:45:46 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:45:50 +0530] "GET /Project2/ HTTP/1.1" 500 2333
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:45:50 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:45:53 +0530] "GET /Project2/ HTTP/1.1" 500 2333
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:45:55 +0530] "GET /Project2/ HTTP/1.1" 500 2333
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:46:50 +0530] "GET /Project2/ HTTP/1.1" 500 2333
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:47:08 +0530] "GET /Project2/ HTTP/1.1" 500 2333
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:48:33 +0530] "GET /Project2/ HTTP/1.1" 500 2333
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:50:02 +0530] "GET /Project2/ HTTP/1.1" 500 2333
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:50:35 +0530] "GET /Project2/ HTTP/1.1" 500 2333
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:50:36 +0530] "GET /Project2/ HTTP/1.1" 500 2333
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:50:37 +0530] "GET /Project2/ HTTP/1.1" 500 2333
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:50:37 +0530] "GET /Project2/ HTTP/1.1" 500 2333
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:50:37 +0530] "GET /Project2/ HTTP/1.1" 500 2333
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:50:37 +0530] "GET /Project2/ HTTP/1.1" 500 2333
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:50:50 +0530] "GET /Project2/ HTTP/1.1" 500 2333
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:51:29 +0530] "GET /Project2/index.jsp HTTP/1.1" 500 2333
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:51:32 +0530] "GET /Project2/index.jsp HTTP/1.1" 500 2333
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:52:22 +0530] "GET /Project2/ HTTP/1.1" 500 2333
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:53:45 +0530] "GET /Project2/ HTTP/1.1" 500 3727
0:0:0:0:0:0:0:1 - - [06/Aug/2023:14:57:13 +0530] "GET /Project2/ HTTP/1.1" 200 5150
