127.0.0.1 - - [19/Aug/2023:13:57:56 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Aug/2023:13:58:00 +0530] "GET /Project2/ HTTP/1.1" 200 7530
0:0:0:0:0:0:0:1 - - [19/Aug/2023:13:58:00 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/Aug/2023:14:27:45 +0530] "GET /Project2/ HTTP/1.1" 500 3926
0:0:0:0:0:0:0:1 - - [19/Aug/2023:14:28:02 +0530] "GET /Project2/ HTTP/1.1" 500 3926
0:0:0:0:0:0:0:1 - - [19/Aug/2023:14:28:03 +0530] "GET /Project2/ HTTP/1.1" 500 3926
0:0:0:0:0:0:0:1 - - [19/Aug/2023:14:28:03 +0530] "GET /Project2/ HTTP/1.1" 500 3926
0:0:0:0:0:0:0:1 - - [19/Aug/2023:14:28:31 +0530] "GET /Project2/ HTTP/1.1" 200 7977
0:0:0:0:0:0:0:1 - - [19/Aug/2023:14:28:34 +0530] "GET /Project2/deleteCustomer.jsp?uid=1 HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [19/Aug/2023:14:29:38 +0530] "GET /Project2/deleteCustomer.jsp?uid=1 HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [19/Aug/2023:14:29:39 +0530] "GET /Project2/deleteCustomer.jsp?uid=1 HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [19/Aug/2023:14:29:40 +0530] "GET /Project2/deleteCustomer.jsp?uid=1 HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [19/Aug/2023:14:29:40 +0530] "GET /Project2/deleteCustomer.jsp?uid=1 HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [19/Aug/2023:14:29:40 +0530] "GET /Project2/deleteCustomer.jsp?uid=1 HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [19/Aug/2023:14:29:40 +0530] "GET /Project2/deleteCustomer.jsp?uid=1 HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [19/Aug/2023:14:29:40 +0530] "GET /Project2/deleteCustomer.jsp?uid=1 HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [19/Aug/2023:14:29:44 +0530] "GET /Project2/deleteCustomer.jsp?uid=1 HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [19/Aug/2023:14:30:16 +0530] "GET /Project2/deleteCustomer.jsp?uid=1 HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [19/Aug/2023:14:30:16 +0530] "GET /Project2/deleteCustomer.jsp?uid=1 HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [19/Aug/2023:14:30:18 +0530] "GET /Project2/deleteCustomer.jsp?uid=1 HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [19/Aug/2023:14:30:18 +0530] "GET /Project2/deleteCustomer.jsp?uid=1 HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [19/Aug/2023:14:30:18 +0530] "GET /Project2/deleteCustomer.jsp?uid=1 HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [19/Aug/2023:14:30:18 +0530] "GET /Project2/deleteCustomer.jsp?uid=1 HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [19/Aug/2023:14:39:17 +0530] "GET /Project2/deleteCustomer.jsp?uid=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2023:14:39:17 +0530] "GET /Project2/index.jsp HTTP/1.1" 200 7640
0:0:0:0:0:0:0:1 - - [19/Aug/2023:14:39:20 +0530] "GET /Project2/deleteCustomer.jsp?uid=2 HTTP/1.1" 302 -
